Index_A,Index_B,Similarity_Score,Title_A,Title_B
0,1,0.9170,Exploring the Depths of the Ocean,Exploring the Depths of the Ocean
0,2,0.8818,Exploring the Depths of the Ocean,Delving into Oceanic Depths
0,3,0.8743,Exploring the Depths of the Ocean,Understanding Oceanic Ecosystems
1,2,0.8681,Exploring the Depths of the Ocean,Delving into Oceanic Depths
1,3,0.8813,Exploring the Depths of the Ocean,Understanding Oceanic Ecosystems
2,3,0.8726,Delving into Oceanic Depths,Understanding Oceanic Ecosystems
4,5,0.8761,The History of Space Exploration,A Timeline of Space Travel
4,6,0.8453,The History of Space Exploration,Missions to the Stars
5,6,0.8016,A Timeline of Space Travel,Missions to the Stars
7,8,0.8090,Introduction to Machine Learning,Getting Started with Machine Learning
7,9,0.8154,Introduction to Machine Learning,The Basics of ML
